quality,subgroup,size_sg,size_dataset,positives_sg,positives_dataset,size_complement,relative_size_sg,relative_size_complement,coverage_sg,coverage_complement,target_share_sg,target_share_complement,target_share_dataset,lift,ano
0.006092756579590344,tipo_acidente=='colisão frontal' AND tipo_pista=='simples' AND uso_solo=='rural',2725,127675,894,5440,124950,0.021343254356765224,0.9786567456432348,0.16433823529411765,0.8356617647058824,0.32807339449541284,0.036382553021208484,0.04260818484433131,7.6997740151106315,2007
0.006008005766857508,tipo_acidente=='atropelamento de pessoa' AND tracado_via=='reta',3331,127675,909,5440,124344,0.026089680830233015,0.973910319169767,0.1670955882352941,0.8329044117647059,0.2728910237166016,0.03643923309528405,0.04260818484433131,6.404662031804617,2007
0.005661362142877876,fase_dia=='plena noite' AND tracado_via=='reta',31618,127675,2070,5440,96057,0.2476444096338359,0.7523555903661641,0.3805147058823529,0.6194852941176471,0.06546903662470745,0.035083335935954696,0.04260818484433131,1.5365366270330008,2007
0.005587119948742111,tipo_acidente=='colisão frontal' AND tracado_via=='reta',3184,127675,849,5440,124491,0.02493831995300568,0.9750616800469943,0.15606617647058824,0.8439338235294118,0.26664572864321606,0.03687816789968753,0.04260818484433131,6.258087022890186,2007
0.00554976558242604,fase_dia=='plena noite' AND uso_solo=='rural',22588,127675,1671,5440,105087,0.1769179557470139,0.8230820442529861,0.30716911764705884,0.6928308823529412,0.07397733309721977,0.03586552094930867,0.04260818484433131,1.7362235299977085,2007
0.0054202982357306915,tracado_via=='reta' AND uso_solo=='rural',42667,127675,2510,5440,85008,0.33418445271196395,0.665815547288036,0.46139705882352944,0.5386029411764706,0.05882766540886399,0.034467344249952944,0.04260818484433131,1.3806658421096896,2007
0.005368215853344651,causa_acidente=='outras',45968,127675,2644,5440,81707,0.36003916193459956,0.6399608380654004,0.4860294117647059,0.5139705882352941,0.057518273581621995,0.034219834285924094,0.04260818484433131,1.3499348491789684,2007
0.005334840407064806,tipo_acidente=='colisão frontal' AND tipo_pista=='simples' AND tracado_via=='reta',2743,127675,798,5440,124932,0.021484237321323672,0.9785157626786763,0.14669117647058824,0.8533088235294117,0.2909223477943857,0.03715621297986105,0.04260818484433131,6.8278512416632715,2007
0.015580755447311056,tipo_pista=='simples' AND uso_solo=='não',23860,72529,2844,5210,48669,0.32897185953204927,0.6710281404679508,0.545873320537428,0.45412667946257196,0.11919530595138307,0.048614107542789047,0.07183333563126473,1.659331352274062,2025
0.014553927704000281,tipo_acidente=='colisão frontal',4739,72529,1396,5210,67790,0.0653393814887838,0.9346606185112162,0.2679462571976967,0.7320537428023033,0.2945769149609622,0.0562619855435905,0.07183333563126473,4.100838592169603,2025
0.014073184385086828,tipo_acidente=='colisão frontal' AND tipo_pista=='simples',4236,72529,1325,5210,68293,0.058404224517089716,0.9415957754829103,0.2543186180422265,0.7456813819577736,0.312795089707271,0.056887235880690556,0.07183333563126473,4.354455865907612,2025
0.012942572289905854,tipo_acidente=='colisão frontal' AND uso_solo=='não',3359,72529,1180,5210,69170,0.046312509478967034,0.953687490521033,0.22648752399232247,0.7735124760076776,0.35129502828222686,0.05826225242157004,0.07183333563126473,4.890417870687454,2025
0.012808845475868719,tipo_pista=='simples',34733,72529,3424,5210,37796,0.4788843083456273,0.5211156916543728,0.6571976967370442,0.34280230326295585,0.09858060058157948,0.04725367763784528,0.07183333563126473,1.3723517043342377,2025
0.012573538301469034,tipo_acidente=='colisão frontal' AND tipo_pista=='simples' AND uso_solo=='não',3133,72529,1137,5210,69396,0.04319651449764922,0.9568034855023508,0.2182341650671785,0.7817658349328215,0.3629109479731886,0.058692143639402845,0.07183333563126473,5.052124404135777,2025
0.010987870204991992,uso_solo=='não',41444,72529,3774,5210,31085,0.5714128141846709,0.42858718581532906,0.7243761996161229,0.2756238003838772,0.09106263874143422,0.046195914428180794,0.07183333563126473,1.2676933061952942,2025
0.010616587362015269,condicao_metereologica=='céu claro' AND tipo_pista=='simples' AND uso_solo=='não',15327,72529,1871,5210,57202,0.21132236760468226,0.7886776323953177,0.35911708253358926,0.6408829174664108,0.12207216024009918,0.05837208489213664,0.07183333563126473,1.6993803666130813,2025
0.010352612519915648,fase_dia=='plena noite' AND uso_solo=='não',14452,72529,1789,5210,58077,0.1992582277433854,0.8007417722566146,0.3433781190019194,0.6566218809980806,0.1237890949349571,0.05890455774230763,0.07183333563126473,1.7232820089323424,2025
0.010228985781158276,fase_dia=='plena noite',24781,72529,2522,5210,47748,0.34167022846034,0.65832977153966,0.48406909788867564,0.5159309021113244,0.1017715185020782,0.05629555164614225,0.07183333563126473,1.41677283405705,2025
0.010071456086955487,fase_dia=='plena noite' AND tipo_pista=='simples',12244,72529,1610,5210,60285,0.16881523252767858,0.8311847674723214,0.30902111324376197,0.690978886756238,0.13149297615158445,0.05971634735008709,0.07183333563126473,1.8305286117655026,2025
0.009738713440138163,fase_dia=='plena noite' AND tipo_pista=='simples' AND uso_solo=='não',8515,72529,1318,5210,64014,0.11740131533593459,0.8825986846640654,0.25297504798464493,0.7470249520153551,0.15478567234292426,0.06079920017496173,0.07183333563126473,2.154788873197688,2025
0.009551788384644667,condicao_metereologica=='céu claro' AND tipo_acidente=='colisão frontal',3010,72529,909,5210,69519,0.0415006411228612,0.9584993588771388,0.1744721689059501,0.8255278310940499,0.30199335548172757,0.061867978538241344,0.07183333563126473,4.204083700524802,2025
0.009408726067851808,tipo_acidente=='atropelamento de pedestre',3057,72529,902,5210,69472,0.042148657778268005,0.957851342221732,0.1731285988483685,0.8268714011516315,0.29506051684658163,0.062010594196222936,0.07183333563126473,4.107570868784207,2025
0.009236392713594874,condicao_metereologica=='céu claro' AND tipo_acidente=='colisão frontal' AND tipo_pista=='simples',2702,72529,864,5210,69827,0.0372540638916847,0.9627459361083153,0.1658349328214971,0.8341650671785029,0.31976313841598814,0.06223953485041603,0.07183333563126473,4.451458861069713,2025
